NAME                                  CPU %               MEM %
cocodriveuhandlers_driveu-scripts_1   0.34%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.26%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.98%               2.61%
streamer                              95.24%              2.66%
connectador                           11.56%              0.30%
driveui-streamer                      0.60%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      267.60%             26.72%
coco-host-handlers                    0.48%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.32%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.18%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.11%               2.61%
streamer                              92.94%              2.66%
connectador                           12.78%              0.30%
driveui-streamer                      0.83%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      179.98%             26.72%
coco-host-handlers                    0.33%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.20%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.06%               2.61%
streamer                              88.99%              2.66%
connectador                           11.12%              0.30%
driveui-streamer                      0.60%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      175.32%             26.72%
coco-host-handlers                    0.40%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.16%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.29%               2.61%
streamer                              90.20%              2.66%
connectador                           11.33%              0.31%
driveui-streamer                      0.62%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      175.12%             26.72%
coco-host-handlers                    8.20%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.16%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.17%               2.61%
streamer                              90.92%              2.66%
connectador                           11.51%              0.31%
driveui-streamer                      0.62%               0.37%
gateway-streamer                      0.34%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      179.40%             26.72%
coco-host-handlers                    0.35%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.35%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.91%               2.61%
streamer                              92.70%              2.66%
connectador                           13.55%              0.30%
driveui-streamer                      0.72%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      177.30%             26.72%
coco-host-handlers                    0.31%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.19%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.52%               2.61%
streamer                              93.45%              2.66%
connectador                           11.66%              0.30%
driveui-streamer                      0.58%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      254.18%             26.72%
coco-host-handlers                    8.20%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.25%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  6.90%               2.61%
streamer                              92.26%              2.66%
connectador                           11.44%              0.30%
driveui-streamer                      0.63%               0.37%
gateway-streamer                      0.23%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      175.07%             26.72%
coco-host-handlers                    0.31%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.42%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.30%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.21%               2.61%
streamer                              92.28%              2.66%
connectador                           14.63%              0.30%
driveui-streamer                      0.60%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      168.94%             26.72%
coco-host-handlers                    0.32%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.27%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.97%               2.61%
streamer                              92.25%              2.66%
connectador                           12.53%              0.30%
driveui-streamer                      0.66%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      179.36%             26.72%
coco-host-handlers                    0.43%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.16%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.10%               2.61%
streamer                              93.33%              2.66%
connectador                           11.52%              0.31%
driveui-streamer                      0.57%               0.37%
gateway-streamer                      0.30%               0.17%
identity                              0.00%               0.11%
