NAME                                  CPU %               MEM %
cocodriveuhandlers_driveu-scripts_1   0.35%               0.13%
coco-one-docker-cloudwatchlogs        1.15%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.32%              17.32%
coco-one-ros-dev                      120.68%             28.05%
streamer                              50.70%              1.39%
connectador                           2.49%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    4.73%               0.49%
coco-host-handlers                    0.29%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        1.10%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  73.25%              17.32%
coco-one-ros-dev                      120.85%             28.05%
streamer                              51.49%              1.39%
connectador                           2.50%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    0.34%               0.49%
coco-host-handlers                    0.16%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.13%
coco-one-docker-cloudwatchlogs        1.07%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  98.13%              17.32%
coco-one-ros-dev                      189.45%             28.05%
streamer                              53.25%              1.39%
connectador                           2.90%               0.11%
driveui-streamer                      0.46%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    2.23%               0.49%
coco-host-handlers                    0.40%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        1.20%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  73.81%              17.32%
coco-one-ros-dev                      119.90%             28.05%
streamer                              49.53%              1.39%
connectador                           2.36%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.10%               0.08%
coco-file-uploader                    2.60%               0.49%
coco-host-handlers                    0.27%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.17%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  77.54%              17.32%
coco-one-ros-dev                      124.54%             28.05%
streamer                              52.10%              1.39%
connectador                           2.77%               0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.06%               0.08%
coco-file-uploader                    6.56%               0.49%
coco-host-handlers                    0.24%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.13%
coco-one-docker-cloudwatchlogs        0.90%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.53%              17.32%
coco-one-ros-dev                      132.96%             28.05%
streamer                              52.75%              1.39%
connectador                           2.50%               0.11%
driveui-streamer                      0.54%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.08%               0.08%
coco-file-uploader                    2.18%               0.49%
coco-host-handlers                    0.37%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.13%
coco-one-docker-cloudwatchlogs        1.16%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  70.84%              17.32%
coco-one-ros-dev                      123.77%             28.05%
streamer                              50.47%              1.39%
connectador                           2.74%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    2.72%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.13%
coco-one-docker-cloudwatchlogs        0.90%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  79.83%              17.32%
coco-one-ros-dev                      127.70%             28.05%
streamer                              52.31%              1.39%
connectador                           2.66%               0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.31%               0.08%
coco-file-uploader                    6.29%               0.49%
coco-host-handlers                    0.27%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.38%               0.13%
coco-one-docker-cloudwatchlogs        1.07%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  80.71%              17.32%
coco-one-ros-dev                      195.75%             28.05%
streamer                              54.16%              1.39%
connectador                           2.89%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    4.11%               0.49%
coco-host-handlers                    0.46%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.13%
coco-one-docker-cloudwatchlogs        1.19%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  86.96%              17.32%
coco-one-ros-dev                      130.11%             28.05%
streamer                              51.54%              1.39%
connectador                           2.71%               0.11%
driveui-streamer                      0.49%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    3.74%               0.49%
coco-host-handlers                    0.26%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.09%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  81.75%              17.32%
coco-one-ros-dev                      129.37%             28.05%
streamer                              52.54%              1.39%
connectador                           2.85%               0.11%
driveui-streamer                      0.49%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.39%               0.08%
coco-file-uploader                    4.27%               0.49%
coco-host-handlers                    0.21%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.36%               0.13%
coco-one-docker-cloudwatchlogs        1.32%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  75.91%              17.32%
coco-one-ros-dev                      121.87%             28.05%
streamer                              50.09%              1.39%
connectador                           2.25%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    2.98%               0.49%
coco-host-handlers                    0.45%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        0.99%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  74.90%              17.32%
coco-one-ros-dev                      124.13%             28.05%
streamer                              52.57%              1.39%
connectador                           3.67%               0.11%
driveui-streamer                      0.49%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    4.41%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.11%               0.39%
